NAMESPACE,POD,CONTAINER,WHOAMI,ID
airflow,airflow-flower-6876555f79-fc54d,flower,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,airflow-pgbouncer-7546784bdc-mgkqk,metrics-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
airflow-tst,redisha-airflow-tst-node-2,redis,"N/A","uid=1001 gid=1001 groups=1001"
airflow,airflow-statsd-6df8564664-67vl5,statsd,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
airflow,airflow-triggerer-0,triggerer,"",""
airflow,airflow-scheduler-5fc8d95498-nm4xc,scheduler-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-tst,redisha-airflow-tst-node-2,kubectl-shared,"N/A","uid=1001 gid=1001 groups=1001"
airflow,airflow-scheduler-5fc8d95498-nm4xc,scheduler,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,airflow-triggerer-0,git-sync,"git-sync","uid=65533(git-sync) gid=65533(git-sync) groups=65533(git-sync),0(root)"
airflow,airflow-webserver-7cbb8fcc68-ckkw8,webserver,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,pgha-airflow-postgresql-ha-pgpool-f8468ffb6-59lth,pgpool,"",""
airflow,airflow-triggerer-0,triggerer-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,airflow-worker-0,worker,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,airflow-pgbouncer-7546784bdc-mgkqk,pgbouncer,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
airflow,airflow-worker-0,worker-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow,pgha-airflow-postgresql-ha-pgpool-f8468ffb6-9pv75,pgpool,"",""
airflow,pgha-airflow-postgresql-ha-pgpool-f8468ffb6-m5zzx,pgpool,"",""
airflow,redisha-airflow-node-0,redis,"N/A","uid=1001 gid=1001 groups=1001"
